Date,Source / Donor,Food Category,Pounds Rescued,Borough,Partner Agency,Route,Notes
3/2/25,Whole Foods - Tribeca,Produce,"1,240",Manhattan,St. John's Pantry,M1,
3/2/2025,Citarella,Dairy,310,Manhattan,St Johns Pantry,M1,partial - cold chain ok
03/03/25,Restaurant Depot,Produce,880 lbs,Bronx,Mercy Center,BX2,
3/3/25,Trader Joe's UWS,Bakery,145,Manhattan,Goddard Riverside,M3,
March 4,Whole Foods - Tribeca,Produce,1560,Manhattan,St. John's Pantry,M1,
2025-03-04,Costco - Bronx,Protein,2200,Bronx,Part of the Solution (POTS),BX2,frozen
3/4/25,Fairway,Dairy,,Brooklyn,CHIPS Soup Kitchen,BK1,weight not recorded
3/5/25,Restaurant Depot,Produce,"1,020",Bronx,Mercy Center,BX2,
3/5/25,Trader Joes UWS,Bakery,210,Manhattan,Goddard Riverside,M3,
3/5/2025,Citarella,Prepared,95,Manhattan,Holy Apostles,M3,
3/6/25,Whole Foods Gowanus,Produce,1320,Brooklyn,CHIPS Soup Kitchen,BK1,
3/6/25,Costco - Bronx,Protein,1890,Bronx,POTS,BX2,frozen
3/6/25,Restaurant Depot,produce,760,Bronx,Mercy Center,BX2,
3/7/25,Whole Foods - Tribeca,Dairy,440,Manhattan,St. John's Pantry,M1,
3/7/25,Fairway,Produce,"1,110",Brooklyn,CHIPS Soup Kitchen,BK1,
3/8/25,Trader Joe's UWS,Bakery,180,Manhattan,Goddard Riverside,M3,short pickup
3/9/25,Costco - Bronx,Protein,2050,Bronx,Part of the Solution (POTS),BX2,frozen
3/9/2025,Citarella,Dairy,260,Manhattan,Holy Apostles,M3,
3/10/25,Whole Foods Gowanus,Produce,"1,470",Brooklyn,CHIPS Soup Kitchen,BK1,
3/10/25,Restaurant Depot,Produce,940,Bronx,Mercy Center,BX2,
3/10/25,Whole Foods - Tribeca,Produce,1290,Manhattan,St Johns Pantry,M1,
3/11/25,Fairway,Bakery,165,Brooklyn,CHIPS Soup Kitchen,BK1,
3/11/25,Trader Joes UWS,Produce,520,Manhattan,Goddard Riverside,M3,
3/12/25,Costco - Bronx,Protein,1980,Bronx,POTS,BX2,frozen
3/12/25,Citarella,Prepared,120,Manhattan,Holy Apostles,M3,
3/13/25,Whole Foods - Tribeca,Produce,"1,610",Manhattan,St. John's Pantry,M1,
3/13/25,Restaurant Depot,Produce,1050,Bronx,Mercy Center,BX2,
03/14/2025,Fairway,Dairy,390,Brooklyn,CHIPS Soup Kitchen,BK1,
3/14/25,Trader Joe's UWS,Bakery,205,Manhattan,Goddard Riverside,M3,
3/15/25,Whole Foods Gowanus,Produce,1380,Brooklyn,CHIPS Soup Kitchen,BK1,
3/15/25,Costco - Bronx,Protein,2310,Bronx,Part of the Solution (POTS),BX2,frozen
3/16/25,Citarella,Dairy,275,Manhattan,Holy Apostles,M3,
3/16/25,Restaurant Depot,produce,810,Bronx,Mercy Center,BX2,
3/17/25,Whole Foods - Tribeca,Produce,1440,Manhattan,St Johns Pantry,M1,
3/17/25,Trader Joes UWS,Bakery,190,Manhattan,Goddard Riverside,M3,
3/18/25,Fairway,Produce,"1,230",Brooklyn,CHIPS Soup Kitchen,BK1,
3/18/25,Costco - Bronx,Protein,2120,Bronx,POTS,BX2,frozen
3/19/25,Whole Foods Gowanus,Produce,1295,Brooklyn,CHIPS Soup Kitchen,BK1,
3/19/25,Citarella,Prepared,110,Manhattan,Holy Apostles,M3,
3/20/25,Restaurant Depot,Produce,985,Bronx,Mercy Center,BX2,
3/20/25,Whole Foods - Tribeca,Dairy,460,Manhattan,St. John's Pantry,M1,
3/20/25,Trader Joe's UWS,Bakery,,Manhattan,Goddard Riverside,M3,scale broken
3/21/25,Costco - Bronx,Protein,2240,Bronx,Part of the Solution (POTS),BX2,frozen
3/21/25,Fairway,Produce,1175,Brooklyn,CHIPS Soup Kitchen,BK1,
